ano,orgao,fornecedor,cnpj,objeto,valor_contrato,modalidade,numero_contrato,data_assinatura,vigencia_dias,processo_administrativo,numero_licitacao,tipo_evento,data_publicacao
2018,,,,,,,Orgão,,,,,,
2018,,,,,,,EDUCAÇÃO,,,,,,
2018,,,,,,,PIRITUBA/JARAGUÁ,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,SANTANA/TUCURUVI,,,,,,
2018,,,,,,,SÃO PAULO TRANSPORTE,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,SECRETARIA MUNICIPAL DAS SUBPREFEITURAS,,,,,,
2018,,,,,,,SÃO PAULO TRANSPORTE,,,,,,
2018,,,,,,,SÃO PAULO TRANSPORTE,,,,,,
2018,,,,,,,CÂMARA MUNICIPAL,,,,,,
2018,,,,,,,SÃO PAULO URBANISMO,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,COMPANHIA DE ENGENHARIA DE TRAFEGO,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,EMPRESA DE CINEMA E AUDIOVISUAL DE SÃO PAULO,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,DIREITOS HUMANOS E CIDADANIA,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,SÃO PAULO TURISMO,,,,,,
2018,,,,,,,CULTURA,,,,,,
2018,,,,,,,MOOCA,,,,,,
2018,,,,,,,ARICANDUVA/FORMOSA/CARRÃO,,,,,,
2018,,,,,,,SÃO PAULO TURISMO,,,,,,
2018,,,,,,,EMPRESA DE CINEMA E AUDIOVISUAL DE SÃO PAULO,,,,,,
2018,,,,,,,EMPRESA DE CINEMA E AUDIOVISUAL DE SÃO PAULO,,,,,,
2018,,,,,,,ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,GOVERNO MUNICIPAL,,,,,,
2018,,,,,,,EDUCAÇÃO,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,GOVERNO MUNICIPAL,,,,,,
2018,,,,,,,EMPRESA DE CINEMA E AUDIOVISUAL DE SÃO PAULO,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,SÃO PAULO TURISMO,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,CULTURA,,,,,,
2018,,,,,,,EDUCAÇÃO,,,,,,
2018,,,,,,,SÃO PAULO OBRAS,,,,,,
2018,,,,,,,INOVAÇÃO E TECNOLOGIA,,,,,,
2018,,,,,,,VILA MARIANA,,,,,,
2018,,,,,,,FAZENDA,,,,,,
2018,,,,,,,COMPANHIA DE ENGENHARIA DE TRAFEGO,,,,,,
2018,,,,,,,COMPANHIA DE ENGENHARIA DE TRAFEGO,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,COMPANHIA SÃO PAULO DE DESENVOLVIMENTO E MOBILIZAÇÃO DE ATIVOS,,,,,,
2018,,,,,,,CAPELA DO SOCORRO,,,,,,
2018,,,,,,,MOOCA,,,,,,
2018,,,,,,,IPIRANGA,,,,,,
2018,,,,,,,JABAQUARA,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,CONTROLADORIA GERAL DO MUNICÍPIO,,,,,,
2018,,,,,,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,,,,,,
2018,,,,,,,VILA PRUDENTE,,,,,,
2018,,,,,,,DIREITOS HUMANOS E CIDADANIA,,,,,,
2018,,,,,,,CULTURA,,,,,,
2018,,,,,,,PROCURADORIA GERAL DO MUNICÍPIO,,,,,,
2018,,,,,,,CÂMARA MUNICIPAL,,,,,,
2018,,,,,,,GOVERNO MUNICIPAL,,,,,,
2018,,,,,,,EDUCAÇÃO,,,,,,
2018,,,,,,,SÃO PAULO TURISMO,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,GOVERNO MUNICIPAL,,,,,,
2018,,,,,,,GOVERNO MUNICIPAL,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,SÃO PAULO PARCERIAS,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,GOVERNO MUNICIPAL,,,,,,
2018,,,,,,,SANTANA/TUCURUVI,,,,,,
2018,,,,,,,SANTANA/TUCURUVI,,,,,,
2018,,,,,,,CONTROLADORIA GERAL DO MUNICÍPIO,,,,,,
2018,,,,,,,CÂMARA MUNICIPAL,,,,,,
2018,,,,,,,COMPANHIA METROPOLITANA DE HABITAÇÃO,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,MOBILIDADE E TRANSPORTES,,,,,,
2018,,,,,,,PINHEIROS,,,,,,
2018,,,,,,,CULTURA,,,,,,
2018,,,,,,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,,,,,,
2018,,,,,,,AUTORIDADE MUNICIPAL DE LIMPEZA URBANA,,,,,,
2018,,,,,,,COMPANHIA DE ENGENHARIA DE TRAFEGO,,,,,,
2018,,,,,,,COMPANHIA METROPOLITANA DE HABITAÇÃO,,,,,,
2018,,,,,,,INOVAÇÃO E TECNOLOGIA,,,,,,
2018,,,,,,,PINHEIROS,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,,,,,,
2018,,,,,,,GOVERNO MUNICIPAL,,,,,,
2018,,,,,,,ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL,,,,,,
2018,,,,,,,EDUCAÇÃO,,,,,,
2018,,,,,,,ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL,,,,,,
2018,,,,,,,ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL,,,,,,
2018,,,,,,,ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL,,,,,,
2018,,,,,,,ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL,,,,,,
2018,,,,,,,ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,EDUCAÇÃO,,,,,,
2018,,,,,,,AUTORIDADE MUNICIPAL DE LIMPEZA URBANA,,,,,,
2018,,,,,,,EMPRESA DE CINEMA E AUDIOVISUAL DE SÃO PAULO,,,,,,
2018,,,,,,,ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL,,,,,,
2018,,,,,,,ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL,,,,,,
2018,,,,,,,CULTURA,,,,,,
2018,,,,,,,LAPA,,,,,,
2018,,,,,,,EDUCAÇÃO,,,,,,
2018,,,,,,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,,,,,,
2018,,,,,,,PARELHEIROS,,,,,,
2018,,,,,,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,,,,,,
2018,,,,,,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,,,,,,
2018,,,,,,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,,,,,,
2018,,,,,,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,,,,,,
2018,,,,,,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,,,,,,
2018,,,,,,,LAPA,,,,,,
2018,,,,,,,EDUCAÇÃO,,,,,,
2018,,,,,,,LAPA,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,EDUCAÇÃO,,,,,,
2018,,,,,,,EDUCAÇÃO,,,,,,
2018,,,,,,,SEGURANÇA URBANA,,,,,,
2018,,,,,,,SAÚDE,,,,,,
2018,,,,,,,ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL,,,,,,
2018,,,,,,,COMPANHIA DE ENGENHARIA DE TRAFEGO,,,,,,
2018,,,,,,,COMPANHIA DE ENGENHARIA DE TRAFEGO,,,,,,
