ano,orgao,fornecedor,cnpj,objeto,valor_contrato,modalidade,numero_contrato,data_assinatura,vigencia_dias,processo_administrativo,numero_licitacao,tipo_evento,data_publicacao
2023,SECRETARIA MUNICIPAL DE CULTURA,CELLMAR PRODUCOES ARTISTICAS LTDA - ME,11988799000192,Espetáculo Musical / Show - CELlIA NASCIMENTO - Céllia Nascimento - Circuito Municipal,550000.00,INEXIGIBILIDADE,07(SMC/CAF/SC,2023-03-09,72 D,6025.2023/0003426-3,6025.2023/0003426-3,EXTRATO DE CONTRATO / NOTA DE EMPENHO,2023-04-01
2023,SECRETARIA DE GOVERNO MUNICIPAL,NÚCLEO ENGENHARIA CONSULTIVA S/A,38894804000154,"desapropriação, conforme Decreto 61.858/2022,de imóvel situado a Rua Siqueira Cardoso, nº 259-277 Belenzinho- SQL 0270720059-1",5186.10,COMPRA POR ATA DE REGISTRO DE PREÇO,mar/23,2023-03-31,120 D,6011.2023/0000620-4,007/SIURB/2022,EXTRATO DE ADITAMENTO,2023-04-01
2023,SECRETARIA MUNICIPAL DE CULTURA,HIGIENIX HIGIENIZAÇÃO E SERVIÇOS LTDA,09212711000102,"Contratação de empresa especializada na prestação de serviço de limpeza, asseio,
conservação predial, com de mão de obra continua, nas áreas internas e externas,
atendendo as demandas das unidades pertencentes à Central de Serviços do Pari,
Edifício Sampaio Moreira  Sede SMC e ao Centro Cultural Municipal da
Juventude - Ruth Cardoso  CCJ.",2285401.65,PREGÃO ELETRÔNICO,004/SMC-G/2022,2023-02-27,12 M,6025.2021/0019270-1,072-SMC-G-2021,EXTRATO DE ADITAMENTO,2023-04-01
2023,SECRETARIA DE GOVERNO MUNICIPAL,G&E SERVIÇOS TERCEIRIZADOS LTDA,08744139000151,"Contratação de empresa especializada em prestação de serviços de copeiragem, sendo necessários os seguintes profissionais: Copeiras, Ajudante de Cozinha, Cozinheira, Garçons e Auxiliar de Serviços Gerais para Lavanderia, com a equipe mínima de funcionários, conforme especificações do Anexo I do Termo de Referência do Edital.",797691.44,PREGÃO ELETRÔNICO,set/23,2023-03-31,12 M,6011.2022/0000849-3,06/2022-SGM,EXTRATO DE ADITAMENTO,2023-04-01
2023,SECRETARIA MUNICIPAL DE CULTURA,GBA PRODUÇÕES ARTÍSTICAS LTDA,28595753000106,"Espetáculo Musical / Show - Jake - Jake - Vem Louvar, Carnaval da Paz, Reviver e Nova Forma.",244000.00,INEXIGIBILIDADE,04(SMC/CAF/SCA,2023-02-15,3 D,6025.2023/0002880-8,6025.2023/0002880-8,EXTRATO DE CONTRATO / NOTA DE EMPENHO,2023-04-01
2023,SECRETARIA MUNICIPAL DE CULTURA,ALPR - ELEVADORES LTDA,10265328000193,"Contratação de empresa especializada para execução de CONSERTO e ao término da GARANTIA, serviços contínuos de manutenção preventiva e corretiva, com o fornecimento de peças, componentes e acessórios, nos elevadores e plataformas elevatórias das Bibliotecas pertencentes à Coordenadoria do Sistema Municipal de Bibliotecas - CSMB.",328.98,PREGÃO ELETRÔNICO,006/SMC-G/2022,2023-03-31,,6025.2021/0002288-1,004-SMC-G-2022,EXTRATO DE ADITAMENTO,2023-04-01
2023,SECRETARIA MUNICIPAL DE CULTURA,ALPR - ELEVADORES LTDA,10265328000193,"Contratação de empresa especializada para execução de CONSERTO e ao término da GARANTIA, serviços contínuos de manutenção preventiva e corretiva, com o fornecimento de peças, componentes e acessórios, nos elevadores e plataformas elevatórias das Bibliotecas pertencentes à Coordenadoria do Sistema Municipal de Bibliotecas - CSMB.",3618.74,PREGÃO ELETRÔNICO,006/SMC-G/2022,2023-04-01,,6025.2021/0002288-1,004-SMC-G-2022,EXTRATO DE ADITAMENTO,2023-04-01
2023,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,BAXTER HOSPITALAR LTDA,49351786000938,01 serviço máquina para hemodiálise  modelo ak96  série 21200  patrimônio 44536 e outros.,,INEXIGIBILIDADE,075/2023,2023-03-27,12 M,6210.2022/0008419-1,8419-1,EXTRATO DE ADITAMENTO,2023-03-31
2023,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,FUND.INST.PESQ.EST.DIAGNÓSTICO.POR IMAGEM - FIDI,55401178000136,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REALIZAÇÃO DE EXAMES DE APOIO DIAGNÓSTICO POR IMAGEM PARA EXECUÇÃO DOS EXAMES ABAIXO LISTADOS, INCLUINDO O FORNECIMENTO DE TODOS OS MATERIAIS, INSUMOS, RECURSOS HUMANOS COMPLEMENTARES E MANUTENÇÃO DOS EQUIPAMENTOS/SOFTWARE NECESSÁRIOS PARA REALIZAÇÃO E EMISSÃO/ENTREGA DE LAUDOS VIA FÍSICA E VIA WEB PARA CORPO CLÍNICO E PACIENTES",13698979.92,PREGÃO ELETRÔNICO,081/2023,2023-03-23,12 M,6210.2018/0007139-4,301/2019,EXTRATO DE ADITAMENTO,2023-03-31
2023,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,PROVAC TERCEIRIZAÇÃO DE MÃO DE OBRA LTDA,50400407000184,"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE LIMPEZA HOSPITALAR, VISANDO À OBTENÇÃO DE ADEQUADA CONDIÇÃO DE SALUBRIDADE E HIGIENE EM DEPENDÊNCIAS MÉDICO-HOSPITALARES, COM A DISPONIBILIZAÇÃO DE MÃO DE OBRA QUALIFICADA, DE PRODUTOS SANEANTES DOMISSANITÁRIOS, DE MATERIAIS E EQUIPAMENTOS EM LOCAIS DETERMINADOS NA RELAÇÃO DE ENDEREÇOS DO HSPM",11080490.15,PREGÃO ELETRÔNICO,082/2023,2023-03-24,12 M,6210.2018/0007896-8,311/2020,EXTRATO DE ADITAMENTO,2023-03-31
2023,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,7 IMPLANTES COM.PRODS.MED.HOSPITALARES LTDA,18304826000100,"item 01 - 80 peças de Parafusos pediculares: Material desenvolvido em titânio com tulipa de baixo perfil, duplo passo de rosca e auto-macheante. Modelos: Poliaxial, Poliaxial Estendido, Uniaxial, Uniaxial Estendido e Monoaxial Estendido. Os parafusos devem ter diâmetros de 4, 5, 6 e 7mm e comprimentos entre 20 e 80mm e outros",263184.00,COMPRA POR ATA DE REGISTRO DE PREÇO,079/2023,2023-03-24,12 M,6210.2023/0002242-2,067/2022  HSPM,EXTRATO DE ADITAMENTO,2023-03-31
2023,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,PARADISE COMÉRCIO E IMPORTAÇÃO EIRELI,67837039000139,Item 02 - 75 peças de Grampeador cirúrgico linear cortante de 75 mm ou 80 mm e outros,79875.00,COMPRA POR ATA DE REGISTRO DE PREÇO,083/2023,2023-03-27,12 M,6210.2023/0001555-8,116/2021  HSPM,EXTRATO DE ADITAMENTO,2023-03-31
2023,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,MEDIC SOLUTION PRODS.MÉD.HOSPITALARES LTDA,07731299000101,Item 04 - 10 unidades de Stent com diâmetro de 04 mm a 05 mm X 100 a 150 mm - Stent auto-expansivel confeccionado em nitinol com marcas radiopacas com diâmetro de 4 mm a 5 mm x 100 a 150 mm de comprimento e outros,390000.00,COMPRA POR ATA DE REGISTRO DE PREÇO,084/2023,2023-03-24,12 M,6210.2023/0001767-4,021/2021  SMS.G/OPM,EXTRATO DE ADITAMENTO,2023-03-31
2023,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,SCITECH PRODUTOS MÉDICOS S.A.,01437707000122,"fornecimento de 06 peças de Cateter balão para angioplastia em nylon semicomplacente; revestimento hidrofílico; duas marcas radiopacas; compatível com fio guia 0,035; sistema OTW; perfil 5F a 7F, sistema: 135cm - 05 X 60 E 80MM -150CM e outros.",34140.00,COMPRA POR ATA DE REGISTRO DE PREÇO,088/2023,2023-03-24,12 M,6210.2023/0001205-2,084/2022  HSPM,EXTRATO DE ADITAMENTO,2023-03-31
2023,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,MEDICAM DISTR.DE MEDICAMENTOS E NUTRIÇÃO LTDA,29494115000161,fornecimento de 6.480 litros de Dieta enteral hiperproteica sistema aberto,165499.20,COMPRA POR ATA DE REGISTRO DE PREÇO,090/2023,2023-03-27,6 M,6210.2023/0002478-6,011/2023  HSPM,EXTRATO DE ADITAMENTO,2023-03-31
2023,SECRETARIA MUNICIPAL DE CULTURA,PONTO CLIP SERVIÇOS MANUTENÇÃO E UT. LTDA EPP,18627730000182,Contratação de Serviços corretivos para obtenção de AVCB para o Teatro Municipal da Mooca Arthur Azevedo  TAA.,196000.00,PREGÃO ELETRÔNICO,015/SMC-G/2023,2023-03-13,6 M,6025.2018/0016747-7,094-SMC-G-2022,EXTRATO DE CONTRATO / NOTA DE EMPENHO,2023-03-31
2023,SECRETARIA MUNICIPAL DE CULTURA,GAMBOA SEGURANÇA E VIGILÂNCIA PATRIMONIAL E. EPP,08930462000110,"Contratação de empresa especializada em serviços de Vigilância/Segurança Patrimonial
para as dependências do Centro Cultural Municipal Tendal da Lapa e Escola Municipal de
Iniciação Artística - EMIA",1103243.51,PREGÃO ELETRÔNICO,014/SMC/2019,2023-03-28,2 M,6025.2018/0014068-4,6025.2018/0014068-4,EXTRATO DE ADITAMENTO,2023-03-31
2023,SECRETARIA MUNICIPAL DE HABITAÇÃO,CONSORCIO GCA-GTA,42062706000128,"CONTRATAÇÃO DE EMPRESA OU CONSÓRCIO DE EMPRESAS PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS DE ARQUITETURA E ENGENHARIA PARA A ELABORAÇÃO DE PROJETOS DE HABITAÇÃO DE INTERESSE SOCIAL COM A UTILIZAÇÃO DE PROCEDIMENTOS BIM  MODELAGEM DA INFORMAÇÃO DA CONSTRUÇÃO PARA A SECRETARIA MUNICIPAL DE HABITAÇÃO DO MUNICÍPIO DE SÃO PAULO, NO ÂMBITO DA OPERAÇÃO URBANA CONSORCIADA ÁGUA ESPRAIADA, SUBDIVIDIDO EM TRÊS LOTES.",2506495.54,CONCORRÊNCIA,005/2021-SEHAB,2023-03-28,4 M,6014.2020/0001242-6,008/SEHAB/2020,EXTRATO DE ADITAMENTO,2023-03-31
2023,SECRETARIA MUNICIPAL DE HABITAÇÃO,SIMETRICA ENGENHARIA LTDA,57510596000197,"EXECUÇÃO DE OBRAS DO PROGRAMA DE SANEAMENTO, PROTEÇÃO AMBIENTAL E RECUPERAÇÃO DA QUALIDADE DAS ÁGUAS EM ÁREAS DEGRADADAS DE MANANCIAL HÍDRICO DAS BACIAS GUARAPIRANGA E BILLINGS, URBANIZAÇÃO DE FAVELAS E REGULARIZAÇÃO DE LOTEAMENTOS PRECÁRIOS  LOTE 11, NO ÂMBITO DA COORDENADORIA DE HABITAÇÃO DA SECRETARIA MUNICIPAL DE HABITAÇÃO  SEHAB, INTEGRADA PELA SUPERINTENDÊNCIA DE HABITAÇÃO POPULAR  HABI, PELO PROGRAMA MANANCIAIS E PELO DEPARTAMENTO DE REGULARIZAÇÃO DE PARCELAMENTO DO SOLO - RESOLO.",178423344.85,CONCORRÊNCIA,036/2012-SEHAB,2023-03-14,12 M,2011-0.363.006-3,11/13/2012,EXTRATO DE ADITAMENTO,2023-03-31
2023,SECRETARIA MUNICIPAL DE ESPORTES E LAZER,CleanMax Serviços Ltda,01392228000137,Contratação de empresa especializada para prestação de serviço de Copeiragem,164865.60,PREGÃO ELETRÔNICO,021.SEME.2023,2023-03-30,12 D,6019.2017/0000833-1,001/SEME/2018,EXTRATO DE ADITAMENTO,2023-03-31
